T,T,F,F,F,F,F,F,,F,F,F,S,S,,,S,S,S
TestNo.,Active,WP_OB_SR,WP_OB_MC1,WP_OB_MC2,WP_OB_Power,WP_IB_SR,WP_IB_MC,WP_IB_Channels,WP_IB_Preamble,WP_IB_ATMs,Test_Duration,Stat_VSAT_ExpIBRate,Stat_VSAT_CPU,Stat_VSAT_OBTCPPackets,Stat_VSAT_OBRetrance,Stat_VSAT_IBTCPPackets,Stat_VSAT_IBRetrance,Stat_VSAT_OBSNR
1,X,45000,QPSK1/2,8PSK3/5,0,128,QPSK1/2,10,default,2,600,87,$19$,172960,0,6048,0,21.34$
2,X,45000,QPSK1/3,8PSK2/3,0,128,QPSK1/2,10,default,4,600,89,$18$,173363,0,6274,0,21.33$
3,X,45000,QPSK2/5,8PSK3/4,0,2560,QPSK1/2,2,default,4,600,1980,$30$,184944,4,37437,10,21.37$
4,X,45000,QPSK1/2,8PSK5/6,0,128,QPSK6/7,10,default,2,600,147,$20$,183939,0,10554,0,21.37$
5,X,45000,QPSK3/5,8PSK8/9,0,128,QPSK6/7,10,default,4,600,158,$20$,180513,0,11153,0,21.37$
6,X,45000,QPSK2/3,8PSK8/9,0,2560,QPSK6/7,2,default,4,600,3306,$35$,180501,3,63796,0,21.34$
7,X,45000,QPSK3/4,8PSK8/9,0,128,8PSK2/3,10,default,2,600,158,$20$,184221,0,11291,0,21.36$
8,X,45000,QPSK4/5,8PSK5/6,0,128,8PSK2/3,10,default,4,600,170,$20$,184765,0,12467,0,21.35$
9,X,45000,QPSK5/6,8PSK8/9,0,2560,8PSK2/3,2,default,4,600,3537,$32$,183585,2,65730,9,21.35$
10,X,45000,QPSK1/4,8PSK2/3,0,128,8PSK6/7,10,default,2,600,196,$21$,180669,0,13349,0,21.35$
11,X,45000,QPSK8/9,8PSK8/9,0,128,8PSK6/7,10,default,4,600,217,$23$,182426,0,14061,0,21.34$
12,X,45000,QPSK1/2,8PSK8/9,0,2560,QPSK1/2,2,default,4,600,1980,$24$,184152,0,37571,5,21.36$
13,X,45000,QPSK1/2,8PSK8/9,0,2560,QPSK2/3,2,default,4,600,2607,$32$,184913,0,51289,0,21.37$
14,X,45000,QPSK1/2,8PSK8/9,0,2560,QPSK3/4,2,default,4,600,2914,$30$,179240,0,53904,0,21.37$
15,X,45000,QPSK1/2,8PSK8/9,0,2560,QPSK4/5,2,default,4,600,3093,$29$,177690,0,57245,1,21.36$
16,X,45000,QPSK1/2,8PSK8/9,0,2560,QPSK6/7,2,default,4,600,3306,$30$,179701,1,61699,2,21.35$
17,X,45000,QPSK1/2,8PSK8/9,0,2560,8PSK2/3,2,default,4,600,3537,$31$,179337,0,65023,9,21.35$
18,X,45000,QPSK1/2,8PSK8/9,0,2560,8PSK3/4,2,default,4,600,3938,$33$,185600,3,72583,15,21.38$
19,X,45000,QPSK1/2,8PSK8/9,0,2560,8PSK4/5,2,default,4,600,4181,$36$,179542,0,77300,14,21.36$
20,X,45000,QPSK1/2,8PSK8/9,0,2560,8PSK6/7,2,default,4,600,4450,$36$,185837,0,83398,18,21.38$
21,X,45000,QPSK1/2,8PSK8/9,0,2048,QPSK1/2,2,default,4,600,1583,$23$,180154,0,29186,0,21.39$
22,X,45000,QPSK1/2,8PSK8/9,0,2048,QPSK2/3,2,default,4,600,2082,$25$,184723,0,38791,0,21.38$
23,X,45000,QPSK1/2,8PSK8/9,0,2048,QPSK3/4,2,default,4,600,2329,$26$,179839,0,42727,0,21.37$
24,X,45000,QPSK1/2,8PSK8/9,0,2048,QPSK4/5,2,default,4,600,2474,$28$,186185,0,46587,0,21.36$
25,X,45000,QPSK1/2,8PSK8/9,0,2048,QPSK6/7,2,default,4,600,2641,$31$,185255,0,49737,0,21.36$
26,X,45000,QPSK1/2,8PSK8/9,0,2048,8PSK2/3,2,default,4,600,2833,$31$,177633,0,52003,0,21.36$
27,X,45000,QPSK1/2,8PSK8/9,0,2048,8PSK3/4,2,default,4,600,3153,$29$,184987,1,58648,6,21.37$
28,X,45000,QPSK1/2,8PSK8/9,0,2048,8PSK4/5,2,default,4,600,,,,,,,
29,X,45000,QPSK1/2,8PSK8/9,0,2048,8PSK6/7,2,default,4,600,,,,,,,
30,X,45000,QPSK1/2,8PSK8/9,0,1536,QPSK1/2,2,default,4,600,,,,,,,
31,X,45000,QPSK1/2,8PSK8/9,0,1536,QPSK2/3,2,default,4,600,,,,,,,
32,X,45000,QPSK1/2,8PSK8/9,0,1536,QPSK3/4,2,default,4,600,,,,,,,
33,X,45000,QPSK1/2,8PSK8/9,0,1536,QPSK4/5,2,default,4,600,,,,,,,
34,X,45000,QPSK1/2,8PSK8/9,0,1536,QPSK6/7,2,default,4,600,,,,,,,
35,X,45000,QPSK1/2,8PSK8/9,0,1536,8PSK2/3,2,default,4,600,,,,,,,
36,X,45000,QPSK1/2,8PSK8/9,0,1536,8PSK3/4,2,default,4,600,,,,,,,
37,X,45000,QPSK1/2,8PSK8/9,0,1536,8PSK4/5,2,default,4,600,,,,,,,
38,X,45000,QPSK1/2,8PSK8/9,0,1536,8PSK6/7,2,default,4,600,,,,,,,
39,X,45000,QPSK1/2,8PSK8/9,0,1280,QPSK1/2,2,default,4,600,,,,,,,
40,X,45000,QPSK1/2,8PSK8/9,0,1280,QPSK2/3,2,default,4,600,,,,,,,
41,X,45000,QPSK1/2,8PSK8/9,0,1280,QPSK3/4,2,default,4,600,,,,,,,
42,X,45000,QPSK1/2,8PSK8/9,0,1280,QPSK4/5,2,default,4,600,,,,,,,
43,X,45000,QPSK1/2,8PSK8/9,0,1280,QPSK6/7,2,default,4,600,,,,,,,
44,X,45000,QPSK1/2,8PSK8/9,0,1280,8PSK2/3,2,default,4,600,,,,,,,
45,X,45000,QPSK1/2,8PSK8/9,0,1280,8PSK3/4,2,default,4,600,,,,,,,
46,X,45000,QPSK1/2,8PSK8/9,0,1280,8PSK4/5,2,default,4,600,,,,,,,
47,X,45000,QPSK1/2,8PSK8/9,0,1280,8PSK6/7,2,default,4,600,,,,,,,
48,X,45000,QPSK1/2,8PSK8/9,0,1024,QPSK1/2,4,default,4,600,,,,,,,
49,X,45000,QPSK1/2,8PSK8/9,0,1024,QPSK2/3,4,default,4,600,,,,,,,
50,X,45000,QPSK1/2,8PSK8/9,0,1024,QPSK3/4,4,default,4,600,,,,,,,
51,X,45000,QPSK1/2,8PSK8/9,0,1024,QPSK4/5,4,default,4,600,,,,,,,
52,X,45000,QPSK1/2,8PSK8/9,0,1024,QPSK6/7,4,default,4,600,,,,,,,
53,X,45000,QPSK1/2,8PSK8/9,0,1024,8PSK2/3,4,default,4,600,,,,,,,
54,X,45000,QPSK1/2,8PSK8/9,0,1024,8PSK3/4,4,default,4,600,,,,,,,
55,X,45000,QPSK1/2,8PSK8/9,0,1024,8PSK4/5,4,default,4,600,,,,,,,
56,X,45000,QPSK1/2,8PSK8/9,0,1024,8PSK6/7,4,default,4,600,,,,,,,
57,X,45000,QPSK1/2,8PSK3/5,0,768,QPSK1/2,8,default,4,1000,,,,,,,
58,X,45000,QPSK1/4,8PSK8/9,0,768,QPSK2/3,8,default,4,900,,,,,,,
59,X,45000,QPSK3/5,16APSK2/3,0,768,QPSK3/4,8,default,4,800,,,,,,,
60,X,45000,QPSK1/3,16APSK3/4,0,768,QPSK4/5,8,default,4,700,,,,,,,
61,X,45000,QPSK3/5,16APSK4/5,0,768,QPSK6/7,8,default,4,600,,,,,,,
62,X,45000,8PSK3/4,16APSK5/6,0,768,8PSK2/3,8,default,4,600,,,,,,,
63,X,45000,8PSK3/4,16APSK8/9,0,768,8PSK3/4,8,default,4,600,,,,,,,
64,X,45000,QPSK1/2,8PSK3/5,0,768,8PSK4/5,8,default,4,600,,,,,,,
65,X,45000,QPSK3/5,16APSK8/9,0,768,8PSK6/7,8,default,4,600,,,,,,,
66,X,45000,QPSK3/5,16APSK8/9,0,640,QPSK1/2,10,default,4,1000,,,,,,,
67,X,45000,QPSK1/2,8PSK3/5,0,640,QPSK2/3,10,default,4,900,,,,,,,
68,X,45000,QPSK1/4,8PSK8/9,0,640,QPSK3/4,10,default,4,800,,,,,,,
69,X,45000,QPSK3/5,16APSK2/3,0,640,QPSK4/5,10,default,4,700,,,,,,,
70,X,45000,QPSK1/3,16APSK3/4,0,640,QPSK6/7,10,default,4,600,,,,,,,
71,X,45000,QPSK3/5,16APSK4/5,0,640,8PSK2/3,10,default,4,600,,,,,,,
72,X,45000,8PSK3/4,16APSK5/6,0,640,8PSK3/4,10,default,4,600,,,,,,,
73,X,45000,8PSK3/4,16APSK8/9,0,640,8PSK4/5,10,default,4,600,,,,,,,
74,X,45000,QPSK1/2,8PSK3/5,0,640,8PSK6/7,10,default,4,1000,,,,,,,
75,X,45000,QPSK3/5,16APSK8/9,0,512,QPSK1/2,10,default,4,900,,,,,,,
76,X,45000,QPSK3/5,16APSK8/9,0,512,QPSK2/3,10,default,4,800,,,,,,,
77,X,45000,QPSK1/2,8PSK8/9,0,512,QPSK3/4,10,default,4,700,,,,,,,
78,X,45000,QPSK1/2,8PSK8/9,0,512,QPSK4/5,10,default,4,600,,,,,,,
79,X,45000,QPSK1/2,8PSK8/9,0,512,QPSK6/7,10,default,4,600,,,,,,,
80,X,45000,QPSK1/2,8PSK8/9,0,512,8PSK2/3,10,default,4,600,,,,,,,
81,X,45000,QPSK1/2,8PSK8/9,0,512,8PSK3/4,10,default,4,600,,,,,,,
82,X,45000,QPSK1/2,8PSK8/9,0,512,8PSK4/5,10,default,4,600,,,,,,,
83,X,45000,QPSK1/2,8PSK8/9,0,512,8PSK6/7,10,default,4,600,,,,,,,
84,X,45000,QPSK1/2,8PSK8/9,0,384,QPSK1/2,10,default,4,1000,,,,,,,
85,X,45000,QPSK1/2,8PSK8/9,0,384,QPSK2/3,10,default,4,1000,,,,,,,
86,X,45000,QPSK1/2,8PSK8/9,0,384,QPSK3/4,10,default,4,1000,,,,,,,
87,X,45000,QPSK1/2,8PSK8/9,0,384,QPSK4/5,10,default,4,1000,,,,,,,
88,X,45000,QPSK1/2,8PSK8/9,0,384,QPSK6/7,10,default,4,1000,,,,,,,
89,X,45000,QPSK1/2,8PSK8/9,0,384,8PSK2/3,10,default,4,1000,,,,,,,
90,X,45000,QPSK1/2,8PSK8/9,0,384,8PSK3/4,10,default,4,1000,,,,,,,
91,X,45000,QPSK1/2,8PSK8/9,0,384,8PSK4/5,10,default,4,1000,,,,,,,
92,X,45000,QPSK1/2,8PSK8/9,0,384,8PSK6/7,10,default,4,1000,,,,,,,
93,X,45000,QPSK1/2,8PSK8/9,0,320,QPSK1/2,10,default,4,1000,,,,,,,
94,X,45000,QPSK1/2,8PSK8/9,0,320,QPSK2/3,10,default,4,1000,,,,,,,
95,X,45000,QPSK1/2,8PSK8/9,0,320,QPSK3/4,10,default,4,1000,,,,,,,
96,X,45000,QPSK1/2,8PSK8/9,0,320,QPSK4/5,10,default,4,1000,,,,,,,
97,X,45000,QPSK1/2,8PSK8/9,0,320,QPSK6/7,10,default,4,1000,,,,,,,
98,X,45000,QPSK1/2,8PSK8/9,0,320,8PSK2/3,10,default,4,1000,,,,,,,
99,X,45000,QPSK1/2,8PSK8/9,0,320,8PSK3/4,10,default,4,1000,,,,,,,
100,X,45000,QPSK1/2,8PSK8/9,0,320,8PSK4/5,10,default,4,1000,,,,,,,
101,X,45000,QPSK1/2,8PSK8/9,0,320,8PSK6/7,10,default,4,1000,,,,,,,
102,X,45000,QPSK1/2,8PSK8/9,0,256,QPSK1/2,10,default,4,1000,,,,,,,
103,X,45000,QPSK1/2,8PSK8/9,0,256,QPSK2/3,10,default,4,1000,,,,,,,
104,X,45000,QPSK1/2,8PSK8/9,0,256,QPSK3/4,10,default,4,1000,,,,,,,
105,X,45000,QPSK1/2,8PSK8/9,0,256,QPSK4/5,10,default,4,1000,,,,,,,
106,X,45000,QPSK1/2,8PSK8/9,0,256,QPSK6/7,10,default,4,1000,,,,,,,
107,X,45000,QPSK1/2,8PSK8/9,0,256,8PSK2/3,10,default,4,1000,,,,,,,
108,X,45000,QPSK1/2,8PSK8/9,0,256,8PSK3/4,10,default,4,1000,,,,,,,
109,X,45000,QPSK1/2,8PSK8/9,0,256,8PSK4/5,10,default,4,1000,,,,,,,
110,X,45000,QPSK1/2,8PSK8/9,0,256,8PSK6/7,10,default,4,1000,,,,,,,
111,X,45000,QPSK1/2,8PSK8/9,0,192,QPSK1/2,10,default,4,1000,,,,,,,
112,X,45000,QPSK1/2,8PSK8/9,0,192,QPSK2/3,10,default,4,1000,,,,,,,
113,X,45000,QPSK1/2,8PSK8/9,0,192,QPSK3/4,10,default,4,1000,,,,,,,
114,X,45000,QPSK1/2,8PSK8/9,0,192,QPSK4/5,10,default,4,1000,,,,,,,
115,X,45000,QPSK1/2,8PSK8/9,0,192,QPSK6/7,10,default,4,1000,,,,,,,
116,X,45000,QPSK1/2,8PSK8/9,0,192,8PSK2/3,10,default,4,1000,,,,,,,
117,X,45000,QPSK1/2,8PSK8/9,0,192,8PSK3/4,10,default,4,1000,,,,,,,
118,X,45000,QPSK1/2,8PSK8/9,0,192,8PSK4/5,10,default,4,1000,,,,,,,
119,X,45000,QPSK1/2,8PSK8/9,0,192,8PSK6/7,10,default,4,1000,,,,,,,
120,X,45000,QPSK1/2,8PSK8/9,0,160,QPSK1/2,10,default,4,1000,,,,,,,
121,X,45000,QPSK1/2,8PSK8/9,0,160,QPSK2/3,10,default,4,1000,,,,,,,
122,X,45000,QPSK1/2,8PSK8/9,0,160,QPSK3/4,10,default,4,1000,,,,,,,
123,X,45000,QPSK1/2,8PSK8/9,0,160,QPSK4/5,10,default,4,1000,,,,,,,
124,X,45000,QPSK1/2,8PSK8/9,0,160,QPSK6/7,10,default,4,1000,,,,,,,
125,X,45000,QPSK1/2,8PSK8/9,0,160,8PSK2/3,10,default,4,1000,,,,,,,
126,X,45000,QPSK1/2,8PSK8/9,0,160,8PSK3/4,10,default,4,1000,,,,,,,
